reporting_unit,contest,candidate,votes,county,ctv,municipality
"CITY OF HARTFORD, DISTRICT 2 WARD 11 - DODGE",COUNTY CLERK (DODGE) (VOTE FOR 1),DANIELLE J VAN EGTERN(REP),5,WASHINGTON,C,HARTFORD
"CITY OF HARTFORD, DISTRICT 2 WARD 11 - DODGE",COUNTY CLERK (DODGE) (VOTE FOR 1),WRITE-IN,0,WASHINGTON,C,HARTFORD
"CITY OF HARTFORD, DISTRICT 2 WARD 11 - DODGE",COUNTY CLERK (DODGE) (VOTE FOR 1),UNRESOLVED WRITE-IN,0,WASHINGTON,C,HARTFORD
"TOWN OF ADDISON, WARD 1-6",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),1951,WASHINGTON,T,ADDISON
"TOWN OF ADDISON, WARD 1-6",COUNTY CLERK (VOTE FOR 1),WRITE-IN,21,WASHINGTON,T,ADDISON
"TOWN OF BARTON, WARD 1-4",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),1684,WASHINGTON,T,BARTON
"TOWN OF BARTON, WARD 1-4",COUNTY CLERK (VOTE FOR 1),WRITE-IN,27,WASHINGTON,T,BARTON
"TOWN OF ERIN, WARD 1-5",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),2342,WASHINGTON,T,ERIN
"TOWN OF ERIN, WARD 1-5",COUNTY CLERK (VOTE FOR 1),WRITE-IN,24,WASHINGTON,T,ERIN
"TOWN OF FARMINGTON, WARD 1-5",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),2206,WASHINGTON,T,FARMINGTON
"TOWN OF FARMINGTON, WARD 1-5",COUNTY CLERK (VOTE FOR 1),WRITE-IN,26,WASHINGTON,T,FARMINGTON
"TOWN OF GERMANTOWN, WARD 1",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),139,WASHINGTON,T,GERMANTOWN
"TOWN OF GERMANTOWN, WARD 1",COUNTY CLERK (VOTE FOR 1),WRITE-IN,6,WASHINGTON,T,GERMANTOWN
"TOWN OF HARTFORD, WARD 1-4",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),1602,WASHINGTON,T,HARTFORD
"TOWN OF HARTFORD, WARD 1-4",COUNTY CLERK (VOTE FOR 1),WRITE-IN,21,WASHINGTON,T,HARTFORD
"TOWN OF HARTFORD, WARD 5",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),502,WASHINGTON,T,HARTFORD
"TOWN OF HARTFORD, WARD 5",COUNTY CLERK (VOTE FOR 1),WRITE-IN,4,WASHINGTON,T,HARTFORD
"TOWN OF JACKSON, WARD 1-7",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),2444,WASHINGTON,T,JACKSON
"TOWN OF JACKSON, WARD 1-7",COUNTY CLERK (VOTE FOR 1),WRITE-IN,44,WASHINGTON,T,JACKSON
"TOWN OF KEWASKUM, WARD 1- 2",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),725,WASHINGTON,T,KEWASKUM
"TOWN OF KEWASKUM, WARD 1- 2",COUNTY CLERK (VOTE FOR 1),WRITE-IN,12,WASHINGTON,T,KEWASKUM
"TOWN OF POLK, WARD 1-6",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),2485,WASHINGTON,T,POLK
"TOWN OF POLK, WARD 1-6",COUNTY CLERK (VOTE FOR 1),WRITE-IN,27,WASHINGTON,T,POLK
"TOWN OF TRENTON, WARD 1-7 WB",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),2844,WASHINGTON,T,TRENTON
"TOWN OF TRENTON, WARD 1-7 WB",COUNTY CLERK (VOTE FOR 1),WRITE-IN,60,WASHINGTON,T,TRENTON
"TOWN OF WAYNE, WARD 1-4",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),1416,WASHINGTON,T,WAYNE
"TOWN OF WAYNE, WARD 1-4",COUNTY CLERK (VOTE FOR 1),WRITE-IN,22,WASHINGTON,T,WAYNE
"TOWN OF WEST BEND, WARD 1- 6",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),2859,WASHINGTON,T,WEST BEND
"TOWN OF WEST BEND, WARD 1- 6",COUNTY CLERK (VOTE FOR 1),WRITE-IN,30,WASHINGTON,T,WEST BEND
"VILLAGE OF GERMANTOWN, DISTRICT 1 WARD 2-4",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),764,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 1 WARD 2-4",COUNTY CLERK (VOTE FOR 1),WRITE-IN,22,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 1 WARD 1,15",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),265,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 1 WARD 1,15",COUNTY CLERK (VOTE FOR 1),WRITE-IN,7,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 2 WARD 5",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),274,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 2 WARD 5",COUNTY CLERK (VOTE FOR 1),WRITE-IN,5,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 2 WARD 6-8",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),879,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 2 WARD 6-8",COUNTY CLERK (VOTE FOR 1),WRITE-IN,39,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 3 WARD 9-11",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),1049,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 3 WARD 9-11",COUNTY CLERK (VOTE FOR 1),WRITE-IN,30,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 3 WARD 16",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),0,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 3 WARD 16",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 4 WARD 12-14",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),959,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 4 WARD 12-14",COUNTY CLERK (VOTE FOR 1),WRITE-IN,14,WASHINGTON,V,GERMANTOWN
"TOWN OF ADDISON, WARD 1-6",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,21,WASHINGTON,T,ADDISON
"TOWN OF BARTON, WARD 1-4",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,27,WASHINGTON,T,BARTON
"TOWN OF ERIN, WARD 1-5",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,24,WASHINGTON,T,ERIN
"TOWN OF FARMINGTON, WARD 1-5",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,26,WASHINGTON,T,FARMINGTON
"TOWN OF GERMANTOWN, WARD 1",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,6,WASHINGTON,T,GERMANTOWN
"TOWN OF HARTFORD, WARD 1-4",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,21,WASHINGTON,T,HARTFORD
"TOWN OF HARTFORD, WARD 5",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,4,WASHINGTON,T,HARTFORD
"TOWN OF JACKSON, WARD 1-7",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,44,WASHINGTON,T,JACKSON
"TOWN OF KEWASKUM, WARD 1- 2",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,12,WASHINGTON,T,KEWASKUM
"TOWN OF POLK, WARD 1-6",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,27,WASHINGTON,T,POLK
"TOWN OF TRENTON, WARD 1-7 WB",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,60,WASHINGTON,T,TRENTON
"TOWN OF WAYNE, WARD 1-4",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,22,WASHINGTON,T,WAYNE
"TOWN OF WEST BEND, WARD 1- 6",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,30,WASHINGTON,T,WEST BEND
"VILLAGE OF GERMANTOWN, DISTRICT 1 WARD 2-4",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,22,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 1 WARD 1,15",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,7,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 2 WARD 5",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,5,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 2 WARD 6-8",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,39,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 3 WARD 9-11",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,30,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 3 WARD 16",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,0,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 4 WARD 12-14",COUNTY CLERK (VOTE FOR 1),UNRESOLVED WRITE-IN,14,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 4 WARD 17",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),155,WASHINGTON,V,GERMANTOWN
"VILLAGE OF GERMANTOWN, DISTRICT 4 WARD 17",COUNTY CLERK (VOTE FOR 1),WRITE-IN,3,WASHINGTON,V,GERMANTOWN
"VILLAGE OF JACKSON, WARD 1-20",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),4430,WASHINGTON,V,JACKSON
"VILLAGE OF JACKSON, WARD 1-20",COUNTY CLERK (VOTE FOR 1),WRITE-IN,74,WASHINGTON,V,JACKSON
"VILLAGE OF KEWASKUM, WARD 1-5",COUNTY CLERK (VOTE FOR 1),ASHLEY REICHERT (REP),2254,WASHINGTON,V,KEWASKUM
