municipality,reporting_unit,contest,candidate,votes,county,ctv
KINGSTON,WARD 1,PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (WRITE IN),0,GREEN LAKE,V
KINGSTON,WARD 1,PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (WRITE IN),0,GREEN LAKE,V
KINGSTON,WARD 1,PRESIDENT/VICE PRESIDENT,"ANDRE RAMONE MCNEIL, SR. (WRITE IN)",0,GREEN LAKE,V
KINGSTON,WARD 1,PRESIDENT/VICE PRESIDENT,SCATTERING,3,GREEN LAKE,V
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ,31,GREEN LAKE,V
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE,91,GREEN LAKE,V
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN,0,GREEN LAKE,V
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,CHASE RUSSEL OLIVER?MIKE TER MAAT,0,GREEN LAKE,V
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE,0,GREEN LAKE,V
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA,0,GREEN LAKE,V
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,CORNEL WEST/MELINA ABDULLAH,0,GREEN LAKE,V
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN",0,GREEN LAKE,V
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (WRITE IN),0,GREEN LAKE,V
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (WRITE IN),0,GREEN LAKE,V
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (WRITE IN),0,GREEN LAKE,V
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (WRITE IN),0,GREEN LAKE,V
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (WRITE IN),0,GREEN LAKE,V
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,"ANDRE RAMONE MCNEIL, SR. (WRITE IN)",0,GREEN LAKE,V
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,SCATTERING,0,GREEN LAKE,V
BERLIN,WARDS 1-6,PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ,974,GREEN LAKE,C
BERLIN,WARDS 1-6,PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE,1644,GREEN LAKE,C
BERLIN,WARDS 1-6,PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN,3,GREEN LAKE,C
BERLIN,WARDS 1-6,PRESIDENT/VICE PRESIDENT,CHASE RUSSEL OLIVER?MIKE TER MAAT,5,GREEN LAKE,C
